asset,best_family,best_name,best_min_score,best_avg_score,best_last_score,positive_windows
ALGO,residual_z,ALGO_resid_reversal_top10_w10_e0.5_x0.0_cur,31.037927759247253,84.34770375156772,185.56581889727138,4
NAYO,single_asset_return,NAYO_absolute_reversal_10_cur,30.709295404901365,46.78377796477872,65.141796071379,4
ULXY,single_asset_return,ULXY_absolute_reversal_60_lag,29.58182583204461,47.38900517059409,61.9342343678623,4
EORC,single_asset_return,EORC_relative_momentum_40_cur,26.60720711224443,32.47279960045895,39.46811754396293,4
HRND,single_asset_return,HRND_absolute_momentum_40_lag,24.613534000943982,33.73789894801426,29.379899596387876,4
EELT,single_asset_return,EELT_absolute_reversal_5_lag,22.26738807362121,33.96365577042182,32.18836444375552,4
MTNS,single_asset_return,MTNS_relative_reversal_60_lag,21.804684820634183,27.412449985176654,23.13601276918145,4
SPLZ,single_asset_return,SPLZ_absolute_reversal_5_cur,18.09244085452293,27.690898460663398,22.03829600800346,4
MDGI,single_asset_return,MDGI_relative_reversal_20_lag,17.290288785458618,26.981589617299186,28.355016918615636,4
MHRM,residual_z,MHRM_resid_reversal_top10_w20_e0.5_x0.0_cur,16.640054695991296,24.86898211362143,24.375933000280124,4
CCNS,single_asset_return,CCNS_absolute_reversal_2_cur,15.462428276357308,27.919759663717684,15.462428276357308,4
RRES,single_asset_return,RRES_absolute_momentum_10_lag,15.281480990408822,24.318461073392847,25.83973863214185,4
BENI,single_asset_return,BENI_absolute_reversal_10_lag,14.07657773195591,21.13329809261993,32.09685440890844,4
BLBT,single_asset_return,BLBT_absolute_reversal_2_cur,13.495514344178938,17.310742113436522,18.64792796841274,4
ALUT,single_asset_return,ALUT_relative_reversal_20_cur,12.296401445890162,13.887357840968674,15.571221779500489,4
SRNA,single_asset_return,SRNA_absolute_momentum_20_cur,11.139203492249681,14.451638796504078,11.139203492249681,4
AMRP,single_asset_return,AMRP_absolute_reversal_10_cur,10.756770761911678,24.698681864264433,47.32911986310795,4
HTRK,residual_z,HTRK_resid_reversal_top10_w40_e0.5_x0.0_cur,10.268620404673962,13.76993649298783,10.268620404673962,4
NPCK,single_asset_return,NPCK_relative_momentum_5_lag,9.943347875749224,14.403685372284077,11.01237819140606,4
IHOZ,single_asset_return,IHOZ_absolute_momentum_2_cur,9.872687331902357,21.587089930239102,40.155360781642926,4
ANSO,single_asset_return,ANSO_relative_momentum_20_cur,9.587226431023783,11.000180538163882,10.176814437607778,4
MSDP,single_asset_return,MSDP_absolute_reversal_5_cur,9.574835389185205,30.02979303516059,14.29651359976494,4
NWIG,single_asset_return,NWIG_absolute_reversal_5_lag,9.114211128163555,14.091472405576786,9.114211128163555,4
CUBO,single_asset_return,CUBO_absolute_reversal_10_cur,9.032410182811336,16.447746864464765,16.73048860266368,4
AETS,single_asset_return,AETS_relative_momentum_2_lag,8.442226538832937,20.61199016756604,17.839378547020402,4
GARI,single_asset_return,GARI_relative_reversal_40_cur,7.752278520767111,17.8048397802386,23.452511561583055,4
RTTH,single_asset_return,RTTH_absolute_reversal_20_lag,7.560714332200367,55.00048983992449,21.992641012009873,4
ACIX,single_asset_return,ACIX_relative_reversal_60_lag,7.070242387319776,14.787755277959628,14.42199202927923,4
ACAC,single_asset_return,ACAC_absolute_reversal_2_cur,6.647180740291069,19.925500303890875,15.119045169605572,4
HUXZ,single_asset_return,HUXZ_absolute_momentum_60_lag,6.338484438943379,7.69696013851979,10.862102175562407,4
NGTE,single_asset_return,NGTE_relative_momentum_40_cur,6.011155285453336,25.98138553416607,32.80137475012013,4
FCSG,single_asset_return,FCSG_absolute_reversal_40_cur,5.902195453719381,12.778870227261832,5.902195453719381,4
EAFC,single_asset_return,EAFC_absolute_reversal_10_cur,5.590862795337357,17.593650635351636,5.590862795337357,4
HRET,single_asset_return,HRET_absolute_reversal_2_cur,5.581647043559417,30.21585100283272,28.398632625184373,4
DIHO,single_asset_return,DIHO_absolute_momentum_5_cur,5.4563787725221164,13.459532526263342,11.932255797378943,4
ITPA,single_asset_return,ITPA_relative_reversal_2_cur,5.354836417891929,18.939976578490075,8.014334490364227,4
FARS,single_asset_return,FARS_absolute_reversal_3_cur,4.690758599081657,11.486947684132112,10.468900545895409,4
DUCT,single_asset_return,DUCT_absolute_reversal_5_cur,4.305311937141915,18.36325186770333,5.856292495099877,4
HETT,single_asset_return,HETT_relative_reversal_40_lag,4.03698921283686,6.915767239018175,8.937838631621839,4
ELLT,single_asset_return,ELLT_relative_reversal_40_cur,3.109770388544449,10.695265912587995,24.912488701510668,4
LSST,single_asset_return,LSST_absolute_reversal_40_cur,2.600327724565561,20.44142162342883,43.82256558432188,4
FWWG,single_asset_return,FWWG_absolute_momentum_2_cur,2.5066736017836315,9.90660731419188,2.5066736017836315,4
SRTX,residual_z,SRTX_resid_momentum_top10_w10_e0.5_x0.0_cur,2.501139083544417,20.2171668973471,7.825078883437055,4
OTCS,single_asset_return,OTCS_relative_momentum_3_lag,2.28921346513365,9.610075567668952,2.28921346513365,4
MMBT,single_asset_return,MMBT_relative_reversal_60_cur,1.419541057867608,11.196978040446815,16.616057431423847,4
AENO,single_asset_return,AENO_absolute_momentum_60_cur,1.0611712251196952,12.19978054929548,1.0611712251196952,4
SMAH,single_asset_return,SMAH_relative_momentum_40_lag,0.3697015547402929,7.608912920938026,5.806943079150902,4
AGVF,single_asset_return,AGVF_absolute_momentum_10_lag,0.32336701584025707,12.57042851971466,1.2308647258147392,4
RCRI,single_asset_return,RCRI_absolute_reversal_60_lag,0.18389927512715679,21.92326355999589,24.486086551386258,4
CTGI,single_asset_return,CTGI_absolute_reversal_5_cur,0.0686853287255261,15.051456509134455,15.084721075102188,4
ILVX,single_asset_return,ILVX_absolute_momentum_20_cur,0.05811638581467471,11.987299837537329,19.795816197738027,4
