filter,full_score,full_mean,full_std,full_sharpe,full_worst,test_score,train_score,roll_mean,roll_min,roll_neg_count
abs_market2_le_0.015,865.6237699969502,920.8983832784005,3679.425250658248,3.957325106965393,-11820.792395800003,914.3670599903176,833.4906113427268,602.0412417443921,62.281403306006126,0
abs_market2_le_0.02,782.431381708621,859.9610216703968,4280.155274313759,3.176795411797158,-12545.604627799941,850.0399000673779,737.0316748987751,483.7843617532684,65.3479114341802,0
disp2_le_0.02,13.608301516590755,23.541019049599846,318.00016405552014,1.1704905697022012,-52.2436232,7.011739553310435,20.203293914244373,10.920070190204369,0.0,0
disp2_le_0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
disp2_le_0.03,539.4165230707501,610.8467347616007,3514.6421006496084,2.7480280037139213,-12545.604627799941,789.7165189522801,368.05630677557394,325.32700584172443,-116.67859975998994,1
coherence_ge_0.2,537.2134379332853,640.7703710831962,4448.243805357475,2.2776335093567948,-12494.702602799982,522.5234026765478,547.0119777329552,303.4162439047264,-437.62309764999895,2
trend5_same_le_0.01,478.2573875669409,551.6903400655974,3418.0627818582657,2.552027491975536,-11769.593251999933,271.83340082366107,611.6592409001528,251.51627520414496,-426.95281258000256,2
trend20_same_le_0.02,401.4771583367274,492.99809397600313,3721.7315960458936,2.0944509549563466,-12494.702602799982,506.2231261688196,330.9705491103876,197.77262066714016,-357.0605043039983,2
trend5_same_le_0.05,835.6014368538953,923.5723724551983,4738.173438019307,3.081981188709584,-12494.702602799982,787.453137019359,867.2815855046531,424.1297821742311,-314.62523814599956,3
disp2_le_0.04,827.1492122577463,917.1375503823999,4783.058195586488,3.0317878941468672,-12494.702602799982,787.453137019359,853.2727739052693,438.82507032811463,-289.2293210659991,3
none,821.6299861418006,912.0882568551991,4785.120388970964,3.013797025256637,-12494.702602799982,787.453137019359,844.0848534410059,435.319757035365,-289.2293210659991,3
coherence_ge_0.05,821.6299861418006,912.0882568551991,4785.120388970964,3.013797025256637,-12494.702602799982,787.453137019359,844.0848534410059,435.319757035365,-289.2293210659991,3
max_scale_1.5,821.6299861418006,912.0882568551991,4785.120388970964,3.013797025256637,-12494.702602799982,787.453137019359,844.0848534410059,435.319757035365,-289.2293210659991,3
exposure_1.0,821.6299861418006,912.0882568551991,4785.120388970964,3.013797025256637,-12494.702602799982,787.453137019359,844.0848534410059,435.319757035365,-289.2293210659991,3
max_scale_1.25,806.6369937536481,897.6004105232008,4765.926732267914,2.9778696625123877,-12494.702602799982,774.3436006148114,827.8407460860486,426.18490032880095,-306.95985087999725,3
exposure_0.75,782.3983366757334,873.9680559807997,4727.456548076712,2.923061937241124,-12494.702602799982,745.2160100877495,806.8544554479406,414.6685259392007,-322.51109994799134,3
max_scale_1.0,754.4946318207776,846.7747604928036,4682.350583185071,2.8593938671710357,-12494.702602799982,726.6065906748036,772.7718798465031,401.7867639766093,-321.4815251899976,3
trend20_same_le_0.05,732.9450505976768,821.6380558159966,4519.178833399684,2.8746900315698487,-12494.702602799982,846.3997823446714,656.1031239171402,391.2250549517537,-405.04657934599555,3
trend60_same_le_0.05,685.5139799131654,772.5575725183999,4352.723738792057,2.8063365600211827,-12494.702602799982,500.8466043838758,809.742512427627,451.40498184739886,-382.21727594999015,3
trend60_same_le_0.03,649.4538268308265,734.9052349911993,4214.895554316016,2.7568588319747724,-12494.702602799982,617.1269030191054,672.3291396084434,351.80816526522426,-476.63467520399485,3
trend60_same_le_0.02,582.1028022456131,663.4018157976,3920.0305649126744,2.6758219190806516,-12494.702602799982,617.1269030191054,558.4578117158496,319.04253343323103,-362.4448425319954,3
max_scale_0.75,568.9148194168766,638.2275172423963,3522.315934129363,2.864951153763022,-9361.894135600014,547.7476664074456,582.7941510566139,302.92318729459487,-232.8265223979944,3
exposure_0.5,561.4013971866344,630.4733843183992,3496.640571239536,2.8509248490674324,-9361.894135600014,541.285073552157,574.5735569511335,299.0201955916486,-247.54327876798746,3
coherence_ge_0.25,481.86696557166243,586.7107737783939,4327.149341426861,2.1438390803120826,-12494.702602799982,550.4540054764183,435.79260986864455,320.1453700663121,-136.655642584,3
trend20_same_le_0.03,411.59166087150476,513.0016942423982,4026.205919542043,2.0146185139926813,-12494.702602799982,456.38840113828303,381.4490032592313,223.4576140723596,-358.1289046279993,3
exposure_0.35,392.3916604479629,440.65382861999797,2443.4929039704043,2.8513890010657525,-6550.2373554000515,378.31843319152193,401.6067323078086,208.84111771544215,-173.97872768200642,3
max_scale_0.5,383.35840035526246,429.7842772552003,2364.8200218587554,2.8735743229784534,-6229.379490400024,368.7224843493648,392.96681776029055,203.97159297380372,-145.91419808200385,3
trend20_same_le_0.01,353.7089303366942,443.4765249368021,3532.4613736269102,1.9850123742143881,-12494.702602799865,421.3721364617619,308.46135795826945,116.3681033974096,-631.823850981996,3
exposure_0.25,279.2316280112965,313.6676244511979,1741.6613811313812,2.847580282442068,-4663.976825600024,269.4652865162486,285.62311758923914,148.6289446127088,-123.58721743599597,3
max_scale_0.35,272.0380680568461,304.83781226159863,1673.629136324082,2.879914620173026,-4343.48949659997,261.4495584785502,279.00213070055247,144.84562874447724,-92.56945146999875,3
trend10_same_le_0.01,257.34415515226175,349.6885523703983,3312.070255567311,1.6693672112159361,-11820.792395800003,65.00561119071489,394.66196383204783,115.66748091496035,-717.8238385799954,3
trend10_same_le_0.02,250.81889815840304,362.2529197415989,3817.7780189827727,1.500276220531611,-12494.702602799865,112.79315639457597,346.9633327337109,167.61512097316518,-448.11813738199487,3
exposure_0.15,166.57333343692173,187.16722047119984,1040.5578259933823,2.8440260849840033,-2786.4632761999965,160.67827662873074,170.4306084527229,88.55392844122987,-74.37123405799503,3
disp2_le_0.025,71.15858798970164,131.2378854183995,1906.680786859094,1.088306537954882,-12545.604627799941,157.51566621975536,24.10367363137532,99.42139544072207,-50.42536595000246,3
trend5_same_le_0.0,52.609384924657434,124.9220212344009,2315.7117118624733,0.8529518484295825,-9066.56525799993,124.41462091882035,18.04056460473583,-10.690146670142935,-321.2235518699997,3
trend10_same_le_0.05,730.7945126858567,826.7680114407982,4737.308790992686,2.7594464790770146,-12494.702602799982,785.727501799658,693.5432487335319,352.7987410460932,-396.7147573339978,4
coherence_ge_0.1,717.6252007931314,814.9786645840015,4746.168003099342,2.715020647019755,-12494.702602799982,742.6298362792056,700.5096636522139,358.56449644549167,-398.62051875599894,4
coherence_ge_0.15,652.2426732665584,751.6080473679998,4638.465780890375,2.562046859531177,-12494.702602799982,731.8416382282993,598.9963318615106,389.8564488913724,-373.8710942199989,4
trend5_same_le_0.03,577.1792075830575,671.2895261439975,4285.9110990883755,2.476490789183315,-11820.792395799886,603.4450681412346,559.4531194783465,280.0671948911409,-314.72505627399374,4
abs_market2_le_0.01,476.41406842654476,534.9874956247994,2966.00353783935,2.851950417962321,-11820.792395800003,341.69505460989654,563.7757893654159,255.66302640429612,-340.55680120400154,4
trend60_same_le_0.01,436.7876447073064,523.7260079224017,3694.4066964503913,2.241451998900708,-12494.702602799982,617.1269030191054,313.32348999687673,209.95720181121038,-219.06134444199844,4
trend10_same_le_0.03,400.9895955777569,510.31382715599705,4213.073200002993,1.9151744328692064,-12494.702602799865,239.6251193016468,507.8761502014868,210.1974720740738,-421.8915957119957,4
abs_market2_le_0.003,153.83605796417487,175.54944154080243,1042.8074795035182,2.661738087570178,-756.9830497998046,144.7673872441038,159.862153853677,60.881047806555024,-157.35793535399733,4
trend5_same_le_0.02,613.3563883131231,690.0598847183943,3858.405958972447,2.827801144859947,-11769.593251999933,497.53720626953304,688.759934372405,192.74638188600954,-639.7326557240003,5
coherence_ge_0.3,306.52847766664513,421.72066143439804,4087.6243250771336,1.631262709618336,-12494.702602799982,442.21814228738947,216.9372501381675,143.80137492076054,-356.1277781179955,5
abs_market2_le_0.005,158.83939037179948,206.46931370800505,1787.6658918398916,1.8261614243171957,-4986.942889600061,46.33404945937088,236.07601191444942,89.47208056720451,-220.53427205599976,5
trend60_same_le_0.0,295.42696726441176,384.90238514160086,3349.2487675039383,1.8170764526188314,-12494.702602799865,617.1269030191054,84.71949417033217,137.15075377508188,-139.51985018999906,6
abs_market2_le_0.0075,200.10499676556682,255.9969164864056,2139.194558204675,1.8921451697136744,-8076.009136599954,84.26791161629001,277.6258157370698,81.60830259728682,-315.0819909580059,6
trend20_same_le_0.0,179.70697853031953,270.33566200160317,3035.4543735055327,1.408152321702063,-12494.702602799865,373.49135029815335,60.17587986974564,35.970915100847826,-546.6406755599974,6
trend10_same_le_0.0,105.00196967507303,187.41024364160327,2625.125167638115,1.1287904174256378,-11820.792395800003,-120.24746126999968,344.1259044316474,67.6038457358253,-474.3851461619961,6
