window,start,end,strategy,mean_pl,std_pl,sharpe,score,value,dvolume
50-150,50,150,base_current,-153.6754276979959,4445.005824449738,-0.5466408719344621,-153.6754276979959,-15367.542769799591,33195606.650000002
50-150,50,150,candidate_no_regime,-168.98244402600218,4476.890068047773,-0.5968087216592092,-168.98244402600218,-16898.24440260022,32593433.490000002
50-150,50,150,candidate_regime,-143.82008242999876,3248.2207440919797,-0.7000740860656873,-143.82008242999876,-14382.008242999875,21301690.350000005
75-175,75,175,base_current,78.19007613999769,4526.949114877925,0.27309643288429913,5.426805622578017,7819.007613999769,36382628.42000002
75-175,75,175,candidate_no_regime,61.08144946199955,4550.50852008843,0.21223617342071413,2.6327734604271207,6108.144946199958,35719412.529999994
75-175,75,175,candidate_regime,-4.287872824001861,3224.074015792491,-0.021028432310433817,-4.287872824001861,-428.78728240018245,20758566.480000004
100-200,100,200,base_current,-285.3599149260053,4823.910679974588,-0.9353275215315653,-285.3599149260053,-28535.99149260053,32168800.789999995
100-200,100,200,candidate_no_regime,-273.9646713040059,4820.236389803772,-0.898661693825455,-273.9646713040059,-27396.46713040059,31572100.120000005
100-200,100,200,candidate_regime,-236.64736879000685,3687.0590341745215,-1.0148260181434954,-236.64736879000685,-23664.736879000684,18196038.349999998
125-225,125,225,base_current,-228.38952398600347,4616.611594549414,-0.7822090668945689,-228.38952398600347,-22838.952398600348,30552922.770000007
125-225,125,225,candidate_no_regime,-193.34518805400702,4580.623131013516,-0.6673886405810455,-193.34518805400702,-19334.5188054007,29984529.790000014
125-225,125,225,candidate_regime,-63.73379689600737,2736.8863621345695,-0.36819936134426035,-63.73379689600737,-6373.379689600736,11790696.559999997
150-250,150,250,base_current,158.9552665319934,4836.799521974299,0.5196211730882901,33.79424676873493,15895.52665319934,33740100.70000002
150-250,150,250,candidate_no_regime,213.6751236619876,4769.786615984691,0.7083126819820277,71.38695144942709,21367.51236619876,33123980.73000001
150-250,150,250,candidate_regime,-63.73379689600737,2736.8863621345695,-0.36819936134426035,-63.73379689600737,-6373.379689600736,11790696.559999997
175-275,175,275,base_current,285.10516334599464,4921.030380558887,0.9160497082171049,130.0848453310155,28510.516334599466,34840513.269999996
175-275,175,275,candidate_no_regime,306.35034302599144,4828.1244743607485,1.0032517296110914,153.67244594051857,30635.034302599146,34208823.82999999
175-275,175,275,candidate_regime,296.69002163999596,3414.823345241743,1.373740502176129,193.9282361092375,29669.002163999598,17636845.48
200-300,200,300,base_current,716.1305299179954,4544.156611880766,2.491775449159675,616.7913698964978,71613.05299179954,39040242.489999995
200-300,200,300,candidate_no_regime,712.907936594002,4460.466492890944,2.527104334536548,616.3897674516643,71290.7936594002,38343761.51
200-300,200,300,candidate_regime,697.566039980005,2874.82414985073,3.836578151807007,653.1897240045289,69756.6039980005,20725648.259999998
225-325,225,325,base_current,1322.3410689119994,4438.32516783969,4.710796824491058,1265.3229810846299,132234.10689119995,43360834.6
225-325,225,325,candidate_no_regime,1321.5862725320114,4387.8974756668085,4.762215581368024,1265.7729708564298,132158.62725320115,42598889.18
225-325,225,325,candidate_regime,1135.7363503160125,3701.083637784199,4.851975853476925,1089.458474156855,113573.63503160124,31966134.820000004
250-350,250,350,base_current,1470.428769338001,4332.921215604466,5.365784209738691,1421.0716758653627,147042.87693380011,41214177.83000002
250-350,250,350,candidate_no_regime,1453.8599051760125,4310.123351948586,5.333384132816188,1404.4844396906594,145385.99051760125,40485057.99999999
250-350,250,350,candidate_regime,1453.8599051760125,4310.123351948586,5.333384132816188,1404.4844396906594,145385.99051760125,40485057.99999999
275-375,275,375,base_current,899.6845095659991,4563.3451568322125,3.1172880069574713,815.7390176897997,89968.4509565999,38675081.17
275-375,275,375,candidate_no_regime,915.002756692015,4517.514336999547,3.2025274970144855,833.7138501439931,91500.27566920151,37990109.61999999
275-375,275,375,candidate_regime,915.002756692015,4517.514336999547,3.2025274970144855,833.7138501439931,91500.27566920151,37990109.61999999
300-400,300,400,base_current,648.5696927400003,4495.835143857998,2.2809526870840626,544.0079743499555,64856.96927400003,38277551.219999984
300-400,300,400,candidate_no_regime,681.607104474007,4475.888436177174,2.4078246701465438,581.335665300516,68160.71044740069,37587451.75000001
300-400,300,400,candidate_regime,699.2572049960063,4395.047512064903,2.5156103910145826,603.8384010331364,69925.72049960063,35841967.580000006
325-425,325,425,base_current,613.7536596600036,4321.277742705716,2.2457009273074053,512.1921629582001,61375.36596600036,37684649.220000006
325-425,325,425,candidate_no_regime,628.1757366700075,4298.962537823375,2.310401732108551,529.0624388746033,62817.573667000746,36992251.970000006
325-425,325,425,candidate_regime,645.8258371920069,4214.953188332898,2.4226610902404695,551.8094043470177,64582.58371920069,35246767.8
350-450,350,450,base_current,535.1032788040034,4111.939772032574,2.057599622389784,432.86172466995146,53510.327880400335,39302650.42
350-450,350,450,candidate_no_regime,550.5155072860102,4080.96854665022,2.1329285810053364,451.312519281682,55051.550728601025,38573453.65
350-450,350,450,candidate_regime,568.1656078080097,3992.718018929919,2.2499678168216692,474.4453305816646,56816.560780800966,36827969.48
375-475,375,475,base_current,785.2465469080093,3821.1173187882023,3.2492690041234464,717.3054155724086,78524.65469080093,41332608.020000026
375-475,375,475,candidate_no_regime,809.4280315120059,3788.6042869697208,3.3780727514456044,744.211405796741,80942.80315120058,40563595.56
375-475,375,475,candidate_regime,827.0781320340052,3692.1370070768767,3.54191988966252,766.0175094183267,82707.81320340052,38818111.39000001
400-500,400,500,base_current,873.1418976320117,4265.9989819376215,3.236190548485122,797.0373669249658,87314.18976320117,42861215.80000001
400-500,400,500,candidate_no_regime,893.9708434720104,4189.441086697,3.3739393497262973,821.7801667772729,89397.08434720105,42066169.96
400-500,400,500,candidate_regime,893.9708434720104,4189.441086697,3.3739393497262973,821.7801667772729,89397.08434720105,42066169.96
