name,short_mult,regime,train_score,test_score,full_score,full_mean,full_std,full_sharpe,cv_mean_score,cv_min_score
base,1.0,none,846.3341949887315,797.0373669249658,826.8190247609373,902.5572880392028,4319.139412957711,3.3040572161504262,798.7446854525589,432.86172466995146
base,1.0,40_-250.0,864.1126676673374,797.0373669249658,837.5042000692997,912.4026950144032,4314.193421964551,3.343928258793282,812.6369839276502,460.7687748439798
base,1.0,40_0.0,825.2991147364584,797.0373669249658,814.1987720309498,889.7756667840034,4286.273009220254,3.282242763794858,782.6339263608265,400.7240803855679
base,1.0,60_-250.0,797.960162832176,797.0373669249658,797.7896845217626,874.9701206096029,4303.012747367102,3.215071193330267,781.1193890833354,432.86172466995146
base,1.1,none,852.1729636566934,797.0373669249658,830.325360785819,905.8985142648024,4321.247811479164,3.3146706217928315,803.3049885637539,437.96122929692683
base,1.1,40_-250.0,852.1729636566934,797.0373669249658,830.325360785819,905.8985142648024,4321.247811479164,3.3146706217928315,803.3049885637539,437.96122929692683
base,1.1,40_0.0,869.0706738195253,797.0373669249658,840.4992498941264,914.505027173602,4290.621934459722,3.3700461864474556,816.7364346982979,465.10119042905967
base,1.1,60_-250.0,803.8186485920254,797.0373669249658,801.303220009223,878.3113468352026,4305.150454233531,3.225745976006603,785.6809150665825,437.96122929692683
base,1.25,none,860.9764104882496,797.0373669249658,835.6128232408338,910.9479606592031,4324.738142999907,3.3304564233920644,810.0463578489771,445.5487442340524
base,1.25,40_-250.0,860.9764104882496,797.0373669249658,835.6128232408338,910.9479606592031,4324.738142999907,3.3304564233920644,810.0463578489771,445.5487442340524
base,1.25,40_0.0,877.8536580187954,797.0373669249658,845.7790410514788,919.5544735680027,4294.12703881948,3.3858879148012013,823.4548791472004,472.6556791767779
base,1.25,60_-250.0,812.6508830353858,797.0373669249658,806.6012526883446,883.3607932296032,4308.686155980523,3.2416286556648672,792.4240829466879,445.5487442340524
base,1.4,none,865.8898899974613,797.0373669249658,838.5644867597792,913.7631886992017,4326.53878865798,3.339358618351837,813.8574881376984,453.19043295693575
base,1.4,40_-250.0,865.8898899974613,797.0373669249658,838.5644867597792,913.7631886992017,4326.53878865798,3.339358618351837,813.8574881376984,453.19043295693575
base,1.4,40_0.0,882.7557950483844,797.0373669249658,848.7264354817818,922.3697016080013,4295.934875108258,3.3948246267788837,827.249282258485,480.2632633781213
base,1.4,60_-250.0,817.5804652839269,797.0373669249658,809.5588605189896,886.1760212696017,4310.511524554432,3.2505824646037005,796.2352132354091,453.19043295693575
base,1.6,none,872.3720762138593,797.0373669249658,842.4587254668616,917.4913510680032,4329.350416362521,3.3508056912123863,818.8793671620382,463.25744558389295
base,1.6,40_-250.0,872.3720762138593,797.0373669249658,842.4587254668616,917.4913510680032,4329.350416362521,3.3508056912123863,818.8793671620382,463.25744558389295
base,1.6,40_0.0,855.9440472842329,797.0373669249658,832.595977032682,907.761249672803,4312.539724380224,3.3281932504626175,806.2337015440537,437.9659235535055
base,1.6,60_-250.0,824.0829337056268,797.0373669249658,813.4606197680279,889.9041836384032,4313.357444044233,3.262104006121459,801.257092259749,463.25744558389295
robust_excl,1.0,none,830.6469744121687,821.7801667772729,827.2852602811248,901.2731291872113,4261.6624047376845,3.343854594125455,803.5369935841765,439.10850460607975
robust_excl,1.0,40_-250.0,830.6469744121687,821.7801667772729,827.2852602811248,901.2731291872113,4261.6624047376845,3.343854594125455,803.5369935841765,439.10850460607975
robust_excl,1.0,40_0.0,824.0461575598703,821.7801667772729,823.3330819329001,896.5048085936103,4225.776234985799,3.3544099010470076,798.7074062453735,429.6269541458383
robust_excl,1.0,60_-250.0,830.6469744121687,821.7801667772729,827.2852602811248,901.2731291872113,4261.6624047376845,3.343854594125455,803.5369935841765,439.10850460607975
robust_excl,1.1,none,836.4613544269054,821.7801667772729,830.7715010465996,904.6007319248096,4263.834273576057,3.354490937494411,808.056192366125,444.01614541097325
robust_excl,1.1,40_-250.0,836.4613544269054,821.7801667772729,830.7715010465996,904.6007319248096,4263.834273576057,3.354490937494411,808.056192366125,444.01614541097325
robust_excl,1.1,40_0.0,829.8561676338359,821.7801667772729,826.8177040610644,899.8324113312093,4227.970291155243,3.365113442496095,803.2241483890498,434.5311251038878
robust_excl,1.1,60_-250.0,836.4613544269054,821.7801667772729,830.7715010465996,904.6007319248096,4263.834273576057,3.354490937494411,808.056192366125,444.01614541097325
robust_excl,1.25,none,845.1922950768981,821.7801667772729,836.007365096007,909.6098505512103,4267.429425375033,3.3702243471951516,814.7281977625325,451.312519281682
robust_excl,1.25,40_-250.0,845.1922950768981,821.7801667772729,836.007365096007,909.6098505512103,4267.429425375033,3.3702243471951516,814.7281977625325,451.312519281682
robust_excl,1.25,40_0.0,859.515150101151,821.7801667772729,844.6164457299267,916.6698907600102,4233.314940537687,3.4237527304443685,826.1370845206833,474.4453305816646
robust_excl,1.25,60_-250.0,845.1922950768981,821.7801667772729,836.007365096007,909.6098505512103,4267.429425375033,3.3702243471951516,814.7281977625325,451.312519281682
robust_excl,1.4,none,849.9444818653395,821.7801667772729,838.8577891065249,912.3299170272089,4269.126848005304,3.3789585295016624,818.4072734325264,458.6931354653746
robust_excl,1.4,40_-250.0,849.9444818653395,821.7801667772729,838.8577891065249,912.3299170272089,4269.126848005304,3.3789585295016624,818.4072734325264,458.6931354653746
robust_excl,1.4,40_0.0,830.4513294061194,821.7801667772729,827.1707547248383,900.7977973800097,4249.309973888355,3.35180625617797,803.4162149003646,428.70037306913207
robust_excl,1.4,60_-250.0,849.9444818653395,821.7801667772729,838.8577891065249,912.3299170272089,4269.126848005304,3.3789585295016624,818.4072734325264,458.6931354653746
robust_excl,1.6,none,856.1971258978689,821.7801667772729,842.6085493257466,915.9224445440108,4271.780435929896,3.3901567838865736,823.2424405396408,468.3905079787155
robust_excl,1.6,40_-250.0,856.1971258978689,821.7801667772729,842.6085493257466,915.9224445440108,4271.780435929896,3.3901567838865736,823.2424405396408,468.3905079787155
robust_excl,1.6,40_0.0,836.7088790836773,821.7801667772729,830.9232619031125,904.3903248968115,4251.985672781022,3.3630561584454526,808.2612854293739,438.41659092936277
robust_excl,1.6,60_-250.0,856.1971258978689,821.7801667772729,842.6085493257466,915.9224445440108,4271.780435929896,3.3901567838865736,823.2424405396408,468.3905079787155
